review_id,rating,review_date_utc,review_text,thumbs_up,app_version,collected_date,period_bucket,source_url
357b40a5-20de-447e-adbf-25e7d2e14a02,1,2026-07-18T08:02:25+00:00,신청한 모임 시간 다 돼가는데 승인이 안 돼서 호스트 문의하려고 했더니 문의가 안 됨 이런 경우 환불이 되는지도 모르겠음,0,,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
86e5dfe1-1240-43ea-99a3-bcba6eca0dfe,1,2026-07-17T04:41:54+00:00,대전권 진짜 심각합니다 전화번호 뒷자리 요구하고 항상 당일취소 당하네요 앱 사용하면서 5번정도 소셜링 신청했는데 모임 진행된적이 단 한 번도 없어요,0,7.5.3,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
ce5762be-e613-4f41-9141-8164afb917cb,1,2026-07-15T09:45:37+00:00,갠톡이 굉장히 늦게 오고 알림이 여러번 뜨는 등 버그가 많아요,0,7.5.3,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
ef94cc17-cf9f-4c9d-be2f-221ceb1c6886,1,2026-07-13T04:56:57+00:00,대형 호스트일수록 어떤사유든 한번만 신고당해도 지금보다 더 융통성 없다시피 무조건적인 서비스 이용 영원히 못하게 하고 강제탈퇴 시키는식으로 제재를 강화시켜야 될 필요가 있습니다 그래야 호스트들의 갑질이 사라집니다 호스트들끼리 자기네들 마음에 안드는 참여자 있으면 시비거리 만들어서 쫒아내고 심기 뒤틀려진 찐따취급하고 호스트들끼리 맘에 안드는 참여자에 대해 블랙리스트 공유로 모임활동 방해 등 갑질이 심해지는데 이럴수록 참여자들에 대한 보호규정은 더 강화하고 지켜줘야 될 필요가 있으며 모든 호스트들은 더 숨막힐 정도로 엄격하게 처리하고 참여자들은 더 관대하게 보호해주기 정책을 더 강화시켜야 될 필요가 큽니다,1,7.5.3,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
966cc98c-4f06-4873-912d-4b1944f36eb1,2,2026-07-11T04:02:15+00:00,대전권 한번 검토부탁드립니다 소셜링이 전부 다 당일파토가 나고 있으며 주회하는 사람들 대부분이 전화번호등을 요구하면서 당일파토내는 경우가 진짜 많습니다. 심지어 클럽은 방장이 하지도 않은 소셜링 한 것처럼 사진만들어서 올리구 있구요,0,7.5.3,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
2bc81a1c-2283-40d1-939b-65fc9e7898b3,5,2026-07-04T07:19:59+00:00,혼자서 할 때보다 즐거운 취미 생활! 편안하게 대화할 수 있는 모임!!! 문토 덕분에 많이 즐거운 요즘이에요~✌️☺️,0,7.5.1,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
e7a8f75f-fb2d-4db0-945c-eb7e903c6da1,3,2026-07-01T22:50:38+00:00,업댓후 만들어진 모임에 채팅이안되요 복구좀해주세요,0,,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
15495d89-25b1-45b7-8bde-c40ca69096bb,1,2026-07-01T11:44:17+00:00,내 소중한 시간 낭비하도록 해서 짜증남 내가 운이 없었음,1,,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
20071773-0802-4d17-b2ff-1f283d43616a,1,2026-06-15T07:23:59+00:00,소셜링에서 2차 요금을 호스트 개인계좌로 받는일이 많음 그게 불법임 그런경우를 몇번 목격해서 계좌이체내역 캡쳐해서 고객센터에 신고했음 그랬는데 자세한 내역을 보내라고 함 아니 뭐 소셜링 끝날때쯤에 몰래 영상이나 녹음이라도 해야됨? 여러분 2차부터는 제 개인계좌로 보내주세요 이러는거? 이런거 잡아낼 생각도 없으면서 '문토이외의 방법으로 요금 받아내면 불법'이라는 규정은 왜 존재함?,1,7.4.9,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
d16f5cd2-dc83-4234-8962-73b4a562f72c,5,2026-06-13T23:24:54+00:00,소셜링의 다양한 참여 기회 제공,0,7.4.9,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
d42e4ae1-c8dc-451e-8162-58759d03eaff,1,2026-06-03T06:26:47+00:00,"악의 적인 사용자는 전혀 필터링 하지 못하는 무능력한 운영, 여러 모임을 돌아다니며 악의적인 리뷰를 남기는 참여자에 대한 제제는 없고 오롯이 소셜링 호스트에게만 책임 전가하는 무능력하고 문제해결을 할 의지도 없는 집단",1,7.4.8,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
5d66fe74-1221-4367-a01a-dce8e780f231,3,2026-06-03T04:38:18+00:00,지방은 없어요...,0,7.4.8,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
c915571a-d7a5-4431-8d4f-aad3717f2196,1,2026-05-24T02:36:49+00:00,미사용앱,0,,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
7539e4bd-4744-4017-99d8-e28f5dc1a91d,4,2026-05-18T04:16:47+00:00,탈퇴 후 재가입하려고 하니 인증번호가 오질 않습니다. 그리고 문의를 해도 답장이 안 와요.,0,,2026-07-30,recent,https://play.google.com/store/apps/details?hl=ko&id=kr.munto.app
